	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
net1_cond1	0.2608087	0.3773118	0.4933734	0.1828963	0.472203	0.4404058	0.6130808	0.1270299	0.5576982	0.5443541	0.3293431	0.5598786	0.2273219	0.0665114	0.4503283	0.4227385	0.0731936	0.5958278	0.3662592	0.5307039	0.0241467	0.6287149	0.1750052	0.013329	0.5643509	0.6907959	0.4846031	0.5980738	0.4789584	0.3356931	0.00547	0.0627146	0.3308898	0.6658113	0.5147971	0.5588487	0.3506658	0.5464823	0.6051665	0.5561881	0.0961284	0.0353247	0.0120075	0.5831151	0.2356586	0.1147829	0.0387833	0.585176	0.2256001	0.0151733	0.1153327	0.6351434	0.0070295	0.0162492	0.367046	0.2343009	0.4034436	0.3895268	0.576035	0.0902505	0.1451803	0.4989664	0.3486249	0.6908935	0.0757403	0.1203233	0.1991186	0.1901178	0.0950523	0.1623865	0.7129195	0.1814225	0.1672202	0.5294563	0.2730594	0.0007127	0.5315683	0.0614953	0.657059	0.4556158	0.0	0.7929839	0.2988838	0.0089227	0.0021788	0.3249044	0.31333	0.0780276	0.2601054	0.2753741	0.3828499	0.5400617	0.4017097	0.0107284	0.470598	0.077374	0.5644234	0.4778708	0.0328088	0.5699604
net1_cond2	0.2744197	0.3338101	0.3857391	0.0582125	0.6436456	0.3458096	0.4115003	0.5266915	0.5933925	0.3593333	0.2273731	0.3663329	0.1884356	0.140419	0.2305962	0.7876413	0.397468	0.6314634	0.3451947	0.4094339	0.0361916	0.6217027	0.2209792	0.0021148	0.5798915	0.3782166	0.5931084	0.5637397	0.4256225	0.3174924	0.0254056	0.0105503	0.151822	0.4863342	0.4523668	0.5993217	0.1704556	0.4296348	0.5731949	0.6049058	0.11107	0.0084056	0.3503962	0.2621881	0.2653353	0.0547975	0.2292431	0.7676461	0.178936	0.0001861	0.1485366	0.4507394	0.0003093	0.0295524	0.4536149	0.2798055	0.3926335	0.1439091	0.5182197	0.0736601	0.0883384	0.5546542	0.4307746	0.5699938	0.0998204	0.110096	0.2646031	0.1253444	0.0977334	0.1223732	0.5126932	0.3174366	0.3804164	0.4482228	0.5230348	0.0033451	0.3799399	0.0775516	0.5748124	0.4848514	0.4774546	0.6427137	0.025754	0.0033546	0.000569	0.493288	0.368817	0.3992324	0.4017078	0.1044381	0.381357	0.526589	0.0137176	0.007008	0.6098102	0.1330741	0.2916134	0.4468232	0.0065561	0.4677665
net1_cond3	0.1749744	0.313279	0.4351399	0.1537951	0.2102833	0.163809	0.5280712	0.1875723	0.5705346	0.550161	0.1966552	0.6040403	0.1256317	0.1093888	0.4021887	0.6192912	0.1251102	0.80245	0.1874736	0.5364314	0.081397	0.6927154	0.2529376	0.0166256	0.5392341	0.5349843	0.4812446	0.4949332	0.4714854	0.3711944	0.0298762	0.0428379	0.145154	0.6288581	0.7649861	0.6615809	0.2959535	0.521848	0.5905963	0.4846651	0.2432153	0.0146433	0.1149711	0.6733848	0.2650998	0.1129318	0.3212284	0.526709	0.0294951	0.0081527	0.1046408	0.5842205	0.0105755	0.0018533	0.3111428	0.1428417	0.1012795	0.004479	0.35412	0.0574544	0.0427156	0.7172616	0.1840231	0.5486325	0.2520993	0.1756381	0.1040949	0.2822927	0.2549355	0.0715437	0.4220788	0.254116	0.08621	0.5258046	0.4254066	0.1016141	0.227722	0.180159	0.6359818	0.464503	0.5865532	0.4498352	0.13911	0.0126411	0.0035726	0.6459729	0.0157271	0.2628719	0.1740887	0.3060721	0.2511501	0.5821251	0.0994791	0.0312522	0.4317632	0.1204585	0.3579711	0.393398	0.0302167	0.5934666
net1_cond4	0.0578766	0.4156064	0.5569973	0.0570774	0.3604215	0.3652587	0.6382401	0.229396	0.540217	0.1923117	0.3517102	0.5060555	0.5475492	0.0660921	0.4653245	0.5997546	0.264042	0.5682835	0.6117473	0.5078097	0.0085701	0.5265467	0.0662271	0.0015645	0.7632679	0.574623	0.3012235	0.255072	0.4413982	0.3684734	0.0243892	0.0316987	0.2237601	0.5117431	0.6924394	0.4922903	0.5097005	0.1666025	0.2517132	0.6152718	0.1262583	0.2429274	0.0008601	0.034573	0.3258955	0.0675629	0.0487434	0.6910979	0.0377393	0.0005215	0.3535791	0.6321484	0.0003004	0.0269341	0.5959011	0.0708641	0.3541763	0.3324011	0.5539883	0.0949778	0.0823232	0.5385428	0.287612	0.5726944	0.1064691	0.0451675	0.0146645	0.1044641	0.0483434	0.0178858	0.6733355	0.2306443	0.0491664	0.1772902	0.6306372	0.0021535	0.416721	0.4923638	0.555855	0.4163225	0.6228586	0.5573422	0.2267601	0.0017645	6.7e-05	0.6055179	0.0009093	0.0298137	0.0139565	0.2790741	0.4236315	0.647272	0.0007619	0.0080438	0.5304129	0.2777959	0.3929098	0.3462784	0.0021321	0.7170032
net1_cond5	0.0566866	0.5012471	0.6572974	0.0611928	0.0995164	0.1592887	0.6191988	0.4024786	0.585927	0.262629	0.0488713	0.0953709	0.4778881	0.0740236	0.6306473	0.5794239	0.3588696	0.6621933	0.5753201	0.5023381	0.2679373	0.421981	0.3525663	0.0005942	0.7699416	0.5963382	0.4935231	0.6710601	0.4218781	0.2959295	0.0133723	0.0408266	0.2102587	0.4175151	0.6054232	0.5512927	0.6715932	0.7480404	0.5149239	0.5873406	0.1370263	0.0093103	0.0946673	0.2890529	0.4106988	0.1067528	0.0665109	0.6908389	0.1612914	0.0070733	0.1890705	0.5298082	0.0082492	0.002363	0.5548381	0.2294609	0.132625	0.0219056	0.348403	0.0490566	0.1148875	0.3968711	0.3165068	0.541888	0.0445328	0.1097705	0.0852196	0.1102981	0.3150511	0.1090104	0.6019153	0.2544263	0.0516177	0.1870565	0.617101	0.0002849	0.403414	0.4863175	0.5592793	0.5530522	0.2959962	0.5858894	0.4096054	0.0118217	0.0012943	0.5517647	0.0040811	0.0507252	0.0263478	0.2148854	0.2237227	0.5765767	0.0016853	0.0065626	0.4050071	0.1229721	0.3596337	0.2842864	4.97e-05	0.6048398
net1_cond6	0.1596211	0.282008	0.3568559	0.1321485	0.0273984	0.3515615	0.6318679	0.3106713	0.4555395	0.4309003	0.3891071	0.2774478	0.1913065	0.055956	0.4271427	0.5029186	0.0719203	0.6035151	0.3040888	0.4474803	0.0919896	0.5432274	0.5081219	0.0322643	0.5012639	0.6947339	0.4937542	0.58838	0.4484117	0.2456481	0.0112438	0.0228827	0.1070322	0.6804685	0.5769707	0.5955329	0.6977446	0.4216628	0.7507691	0.572978	0.0486859	0.0640745	0.0573958	0.4742177	0.3336711	0.0998092	0.3375091	0.5633737	0.0128637	0.0396835	0.6370893	0.5849388	0.0003056	0.0289408	0.46335	0.1172895	0.1655354	0.0285624	0.3034357	0.0558264	0.1584309	0.6160969	0.4650809	0.6087129	0.2565113	0.0951895	0.0034698	0.1256711	0.3018335	0.0283607	0.4380396	0.1374812	0.103964	0.1788045	0.7025473	0.0282184	0.1557085	0.5369597	0.4593586	0.5111111	0.4637284	0.6309074	0.2533675	0.0057001	0.0014338	0.6273227	0.3557757	0.0520803	0.1355242	0.4133653	0.299331	0.6464905	0.0027138	0.0105517	0.6131165	0.1335999	0.3098872	0.2448456	0.0079048	0.4626591
net1_cond7	0.051497	0.3748891	0.3696565	0.0822044	0.4321102	0.3121844	0.6580541	0.5020231	0.5182518	0.1529152	0.3624231	0.3475585	0.1687716	0.1323817	0.1814291	0.4535591	0.1977903	0.5929314	0.5774286	0.4002379	0.0825709	0.4973254	0.1483543	0.0	0.5449369	0.5735838	0.1506152	0.7053778	0.4699572	0.3663901	0.0176306	0.038899	0.1022265	0.5515935	0.6743592	0.5891529	0.4577702	0.2283757	0.675781	0.6680768	0.4930394	0.2035058	0.1324285	0.031085	0.3600984	0.0585906	0.0384714	0.5878847	0.0134476	0.0080517	0.5325887	0.6233974	0.0287292	0.0398945	0.4075039	0.1147507	0.4438558	0.2270805	0.6336356	0.0826377	0.1291637	0.546551	0.303521	0.7426329	0.2367122	0.1069864	0.0322812	0.165839	0.0841097	0.0320396	0.4634806	0.1527153	0.0740978	0.5273302	0.6210851	4.45e-05	0.118975	0.0698317	0.6790616	0.4060527	0.5974096	0.2703859	0.1794996	0.0081333	0.0029056	0.5546214	0.0221388	0.1855805	0.3900798	0.5163293	0.3481542	0.5200066	0.1402098	0.0055463	0.5334277	0.3563284	0.6177515	0.3547292	0.0195488	0.5151493
net1_cond8	0.1520453	0.3090113	0.5864233	0.1686683	0.5426698	0.3519104	0.5000315	0.3344232	0.5702952	0.6325527	0.0530947	0.4230032	0.3801115	0.047917	0.2280801	0.5940321	0.1688102	0.7503829	0.2246199	0.4210515	0.16727	0.5287634	0.1760269	0.0176434	0.4693779	0.7348268	0.415365	0.4692456	0.5374122	0.3564279	0.0079151	0.0576182	0.1803158	0.4842056	0.618004	0.4045693	0.4224435	0.1983903	0.6058264	0.5287072	0.1104911	0.025479	0.0623499	0.4259063	0.4451953	0.1484252	0.1899428	0.5907378	0.2064078	0.0017318	0.2985215	0.5826058	0.0181419	0.0551738	0.4333018	0.1952061	0.4210705	0.0030509	0.6153666	0.0824306	0.1127652	0.5739624	0.0693465	0.6046515	0.1007659	0.0635222	1.6e-05	0.1726272	0.0634795	0.0669607	0.508538	0.3341545	0.233738	0.4420767	0.3678238	0.1846935	0.2579202	0.45274	0.5530306	0.4272461	0.5131796	0.304221	0.3133695	0.0144848	0.006537	0.5670357	0.0248452	0.0611242	0.0275306	0.1315513	0.1573286	0.3719143	0.0082853	0.0278111	0.5839591	0.1273404	0.4241615	0.2610652	0.001233	0.6492014
net1_cond9	0.4395809	0.279269	0.4134204	0.1021713	0.0183505	0.2092884	0.6090093	0.6476336	0.5601741	0.6048318	0.0584558	0.1872633	0.1720877	0.0832688	0.3987992	0.3301215	0.2809382	0.5643784	0.4175157	0.3535581	0.3590841	0.5527708	0.4085466	0.0367922	0.7637838	0.6353859	0.5202025	0.688115	0.4372379	0.1646647	0.0075191	0.0542749	0.1798309	0.4421927	0.5808161	0.6039916	0.6879478	0.5214597	0.6038467	0.6237599	0.3106967	0.3355906	0.0005152	0.2125966	0.1889429	0.0623763	0.1331068	0.5528132	0.0769573	0.0373603	0.1829825	0.5349418	1.02e-05	0.0074722	0.4722504	0.1787191	0.4559039	0.0505769	0.1822475	0.0356418	0.1103025	0.6843954	0.3823068	0.5197595	0.0874181	0.0664101	0.2178891	0.1243995	0.4330972	0.1079214	0.593478	0.2589583	0.0168066	0.3447655	0.738491	0.230985	0.5018223	0.0896618	0.6119168	0.4717914	0.4570196	0.6301168	0.3708529	0.016664	0.0004845	0.2250436	0.0329929	0.0161195	0.4046184	0.2939885	0.2122235	0.5995852	0.0055621	9.3e-05	0.3688624	0.144934	0.2923181	0.3529409	0.0006677	0.4792851
net1_cond10	0.4251107	0.3328447	0.3895618	0.1000661	0.441526	0.3268324	0.6032599	0.165707	0.7138081	0.5195035	0.2113625	0.2507666	0.1369888	0.0690891	0.3260881	0.1368	0.1372478	0.6845581	0.199123	0.4599603	0.0051577	0.5636402	0.1995426	0.0014446	0.6372956	0.4728231	0.3016128	0.1835127	0.6819971	0.1172347	0.019265	0.0253741	0.1787201	0.5408074	0.4937248	0.410833	0.5167245	0.3679753	0.4960075	0.5617974	0.0704101	0.1367004	0.008266	0.2470751	0.5237008	0.100895	0.2554279	0.5312236	0.1323566	0.000436	0.4131744	0.5944413	0.0346921	0.0399713	0.4706439	0.130491	0.4904911	0.1059741	0.5593977	0.0020935	0.0813171	0.6631694	0.1487417	0.6471936	0.1888835	0.0308299	0.2175193	0.1445342	0.0740113	0.0963527	0.5398866	0.2538957	0.0264758	0.0676694	0.5837625	0.3731275	0.1502641	0.0759327	0.4867766	0.2079913	0.4457529	0.3424804	0.2377714	0.0027526	0.0024018	0.7308377	0.4699193	0.0259101	0.0175302	0.5812122	0.10778	0.6679553	0.0001726	0.0128351	0.3958074	0.1077638	0.3405813	0.3705875	0.0326929	0.449582
