method	fold	auroc	auprc
TIGRESS	1	0.47439022222222216	0.4783106967571097
TIGRESS	2	0.46374788888888896	0.46968588092172003
TIGRESS	3	0.4605556666666667	0.4675691460104301
TIGRESS	4	0.4566212777777778	0.4697219096325265
TIGRESS	5	0.4618398888888889	0.4709016993430322
TIGRESS	6	0.4553310555555555	0.46885923848366345
TIGRESS	7	0.4597668888888889	0.4704212907303797
TIGRESS	8	0.46518349999999997	0.46894182775802734
TIGRESS	9	0.4633395555555555	0.46888149507413446
TIGRESS	10	0.46838494444444445	0.4731270202072697
