method	fold	auroc	auprc
DeepSEM	1	0.5215276666666667	0.5187931304782529
DeepSEM	2	0.5049658888888889	0.5022727212524483
DeepSEM	3	0.5177684444444445	0.5062819915692203
DeepSEM	4	0.5094767777777778	0.5027545769002429
DeepSEM	5	0.5100976666666667	0.5119615354720485
DeepSEM	6	0.5143811111111112	0.5075826987804435
DeepSEM	7	0.5150147777777777	0.5008989141899074
DeepSEM	8	0.5108936666666667	0.5061988804833022
DeepSEM	9	0.4987828888888889	0.4935734110704847
DeepSEM	10	0.5035037777777778	0.5009594760092149
DeepTGI	1	0.8277119444444444	0.8044252898660751
DeepTGI	2	0.8261844444444444	0.7963603915627325
DeepTGI	3	0.8330605555555555	0.806790479320384
DeepTGI	4	0.8179750555555556	0.7883640334395785
DeepTGI	5	0.8315238888888888	0.8054043821605453
DeepTGI	6	0.8307874444444445	0.8096999771674811
DeepTGI	7	0.8237062222222222	0.7963290884589316
DeepTGI	8	0.8299591666666667	0.8025364449360705
DeepTGI	9	0.8300843333333334	0.8039040061805838
DeepTGI	10	0.8315293333333332	0.7958840305525078
GNNLink	1	0.8631494444444444	0.8291649720421148
GNNLink	2	0.8520111666666667	0.8086106667521729
GNNLink	3	0.8322742222222222	0.7812084066586448
GNNLink	4	0.8598276666666667	0.8237304081444671
GNNLink	5	0.862456777777778	0.8275559364412994
GNNLink	6	0.8648345	0.8285003448366411
GNNLink	7	0.8594876111111112	0.8204673399782872
GNNLink	8	0.8681865	0.829960392808148
GNNLink	9	0.8622328333333334	0.8221035171670495
GNNLink	10	0.8541410555555555	0.8115370279645593
LINGER	1	0.5155752222222223	0.5151434119751568
LINGER	2	0.5416398888888889	0.5306248240518368
LINGER	3	0.5270660555555555	0.5147072804346915
LINGER	4	0.5140222222222223	0.5094563740221716
LINGER	5	0.5173674444444444	0.5141760645096893
LINGER	6	0.5220830000000001	0.5147285444821901
LINGER	7	0.5271426666666666	0.5215694464533691
LINGER	8	0.5172706111111112	0.5111785582957225
LINGER	9	0.5210973333333333	0.5187364306747804
LINGER	10	0.5234233333333334	0.5189645515218789
