network	seed	method	AUROC	AUPRC	EP_5pct	EP_10pct	time_sec
1	0	GENIE3	0.7501338067013201	0.1547247754838959	0.1111111111111111	0.0717171717171717	37.749521017074585
1	0	GRNBoost2	0.6635185085636288	0.0690565722874766	0.0949494949494949	0.0595959595959596	4.397022247314453
1	0	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	38.035589933395386
1	0	TIGRESS	0.7092605339179537	0.1505247968165559	0.103030303030303	0.0666666666666666	27.38273406028748
1	1	GENIE3	0.746540307954078	0.1603952373076057	0.1131313131313131	0.0717171717171717	32.26317000389099
1	1	GRNBoost2	0.6682928952731759	0.0730108701429599	0.0888888888888888	0.0595959595959596	4.41553258895874
1	1	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	32.797863721847534
1	1	TIGRESS	0.697771855484088	0.1517200289707144	0.0969696969696969	0.0646464646464646	21.063787698745728
1	2	GENIE3	0.7497277121274448	0.1667411358477984	0.109090909090909	0.0707070707070707	38.41938161849976
1	2	GRNBoost2	0.6627837403238472	0.0649580075012831	0.0929292929292929	0.0585858585858585	4.025083780288696
1	2	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	37.61812353134155
1	2	TIGRESS	0.7081342788227815	0.1506840973721606	0.101010101010101	0.0656565656565656	28.552111387252808
1	3	GENIE3	0.7438022372013013	0.1620534770278753	0.1171717171717171	0.0696969696969697	37.67141962051392
1	3	GRNBoost2	0.649841301746382	0.0655039861479788	0.0868686868686868	0.0545454545454545	3.709653377532959
1	3	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	37.86892199516296
1	3	TIGRESS	0.7069583574847611	0.1479032020229434	0.0989898989898989	0.0656565656565656	26.50258708000183
1	4	GENIE3	0.7490335533450507	0.1616557947030406	0.1171717171717171	0.0696969696969697	38.66428589820862
1	4	GRNBoost2	0.6579257974645676	0.0800356252403986	0.0888888888888888	0.0555555555555555	4.569480419158936
1	4	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	38.71652698516846
1	4	TIGRESS	0.7063243825025242	0.1515677006612465	0.101010101010101	0.0686868686868686	28.134643077850345
1	5	GENIE3	0.7419499784974385	0.1655257582770586	0.1131313131313131	0.0696969696969697	38.87485480308533
1	5	GRNBoost2	0.6548473668710968	0.0640732730280583	0.0909090909090909	0.0585858585858585	3.50402569770813
1	5	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	38.01605248451233
1	5	TIGRESS	0.7103055700983509	0.1517988643264658	0.0989898989898989	0.0656565656565656	28.005975246429443
1	6	GENIE3	0.7493590133128902	0.1492426610201537	0.1131313131313131	0.0707070707070707	37.69287371635437
1	6	GRNBoost2	0.6679636372985304	0.0746086701693575	0.0888888888888888	0.0646464646464646	4.03845477104187
1	6	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	36.49933981895447
1	6	TIGRESS	0.7107411722635651	0.1538931785793779	0.0989898989898989	0.0666666666666666	26.740514755249023
1	7	GENIE3	0.740415583747803	0.1650642355434471	0.1191919191919192	0.0696969696969697	43.07235884666443
1	7	GRNBoost2	0.6635877491492465	0.0650957702597405	0.0888888888888888	0.0575757575757575	4.736656904220581
1	7	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	40.39597153663635
1	7	TIGRESS	0.7052431191802848	0.146796556716748	0.101010101010101	0.0676767676767676	30.143219232559204
1	8	GENIE3	0.7421410474552186	0.1629000672759477	0.1131313131313131	0.0707070707070707	31.389629125595093
1	8	GRNBoost2	0.6476583242960248	0.0687722898079433	0.0787878787878787	0.0545454545454545	4.238657236099243
1	8	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	31.95165777206421
1	8	TIGRESS	0.7066343582887701	0.1479934842696803	0.101010101010101	0.0656565656565656	20.759987592697144
1	9	GENIE3	0.741387289181407	0.1502505930204667	0.1131313131313131	0.0696969696969697	29.3630485534668
1	9	GRNBoost2	0.6311732218316443	0.0594371331632528	0.0707070707070707	0.0525252525252525	3.074584007263184
1	9	iLSGRN	0.6674535357690438	0.127875618470929	0.103030303030303	0.0606060606060606	27.384024381637573
1	9	TIGRESS	0.706827472327138	0.1524857019354652	0.101010101010101	0.0656565656565656	17.13895010948181
2	0	GENIE3	0.72765749559215	0.1500118715532214	0.1636363636363636	0.101010101010101	37.70132064819336
2	0	GRNBoost2	0.6411899801048564	0.08613872657347	0.107070707070707	0.0757575757575757	4.06314754486084
2	0	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	40.41098475456238
2	0	TIGRESS	0.6381566052834278	0.1215367623604515	0.1414141414141414	0.0888888888888888	27.389971494674683
2	1	GENIE3	0.7295504679582488	0.1536296551841461	0.1616161616161616	0.104040404040404	39.04874563217163
2	1	GRNBoost2	0.6285579578702334	0.0877514247342141	0.101010101010101	0.0696969696969697	3.7170393466949454
2	1	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	40.16335463523865
2	1	TIGRESS	0.6459448820044452	0.1212273773159686	0.1434343434343434	0.0878787878787878	27.84474492073059
2	2	GENIE3	0.730066884468763	0.1554508891941015	0.1676767676767676	0.101010101010101	27.63791561126709
2	2	GRNBoost2	0.6428382684192371	0.0916568010316255	0.1151515151515151	0.0777777777777777	2.4421961307525635
2	2	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	27.69548988342285
2	2	TIGRESS	0.6445720713129173	0.1231750601269076	0.1414141414141414	0.0888888888888888	17.548539638519287
2	3	GENIE3	0.7285821349848675	0.15555773366261	0.1737373737373737	0.104040404040404	37.49909424781799
2	3	GRNBoost2	0.6181339179118297	0.0805167172471492	0.0929292929292929	0.0666666666666666	3.685015916824341
2	3	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	39.45811343193054
2	3	TIGRESS	0.637542606442764	0.1198488888644037	0.1454545454545454	0.0858585858585858	26.45859408378601
2	4	GENIE3	0.7231624664651768	0.1544222461975471	0.1656565656565656	0.102020202020202	33.56107187271118
2	4	GRNBoost2	0.5960191402851069	0.0737766978732859	0.105050505050505	0.0717171717171717	3.0473525524139404
2	4	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	34.2205593585968
2	4	TIGRESS	0.6399503308020186	0.1236741282384689	0.1434343434343434	0.0888888888888888	19.28295397758484
2	5	GENIE3	0.7245702320212358	0.1497421996381082	0.1616161616161616	0.102020202020202	38.2627968788147
2	5	GRNBoost2	0.639931604981734	0.0781418777115014	0.0989898989898989	0.0707070707070707	3.856839179992676
2	5	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	39.02675819396973
2	5	TIGRESS	0.646240749964941	0.1199991521131492	0.1434343434343434	0.0878787878787878	28.15855073928833
2	6	GENIE3	0.7229236082242138	0.154804414948887	0.1676767676767676	0.101010101010101	39.25719952583313
2	6	GRNBoost2	0.6257611525783998	0.0847038248951276	0.103030303030303	0.0717171717171717	4.161495208740234
2	6	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	40.39175844192505
2	6	TIGRESS	0.6409877412457831	0.121317421400954	0.1454545454545454	0.0858585858585858	27.872552156448364
2	7	GENIE3	0.7315254178042603	0.1496446025005817	0.1616161616161616	0.102020202020202	26.092859029769897
2	7	GRNBoost2	0.6489349793745492	0.0896867092494825	0.103030303030303	0.0747474747474747	2.4336724281311035
2	7	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	26.71452522277832
2	7	TIGRESS	0.6468478826715006	0.1223245583358854	0.1454545454545454	0.0878787878787878	17.44035768508911
2	8	GENIE3	0.7234849667034109	0.1556429201432554	0.1656565656565656	0.102020202020202	25.558478116989136
2	8	GRNBoost2	0.6485839742765488	0.0913743566771418	0.1151515151515151	0.0767676767676767	2.7445602416992188
2	8	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	26.3339319229126
2	8	TIGRESS	0.6396865048006761	0.1235767942073871	0.1393939393939394	0.0888888888888888	16.941505670547485
2	9	GENIE3	0.7228840759369465	0.1524452690717961	0.1676767676767676	0.101010101010101	26.180235624313354
2	9	GRNBoost2	0.611492077521567	0.0814224748119021	0.0989898989898989	0.0666666666666666	2.1533138751983643
2	9	iLSGRN	0.680597012441019	0.1398978864068621	0.1393939393939394	0.0888888888888888	26.642693996429443
2	9	TIGRESS	0.6391925592745036	0.1218885874986998	0.1414141414141414	0.0868686868686868	17.336565732955933
3	0	GENIE3	0.7689676217651489	0.2308251754438327	0.1797979797979798	0.107070707070707	37.71841144561768
3	0	GRNBoost2	0.7428108693641924	0.1471414342677234	0.1454545454545454	0.0919191919191919	5.992903709411621
3	0	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	38.51594352722168
3	0	TIGRESS	0.7190935151058799	0.2002838311043036	0.1535353535353535	0.0919191919191919	26.49656391143799
3	1	GENIE3	0.7659884542728438	0.2216028072673699	0.1797979797979798	0.107070707070707	38.22032284736633
3	1	GRNBoost2	0.7251710062220109	0.1586804420057581	0.1474747474747474	0.0868686868686868	6.38960599899292
3	1	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	40.15015649795532
3	1	TIGRESS	0.720318894569281	0.2015981412761706	0.1555555555555555	0.0909090909090909	28.257589101791385
3	2	GENIE3	0.7672513507443957	0.233947741195852	0.1818181818181818	0.104040404040404	28.080856323242188
3	2	GRNBoost2	0.7324530046632056	0.1437769084565791	0.1353535353535353	0.0838383838383838	3.703546047210693
3	2	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	27.023422956466675
3	2	TIGRESS	0.7238901438592319	0.202534288410665	0.1575757575757575	0.0898989898989899	17.214988470077515
3	3	GENIE3	0.7686505766258471	0.2313313503737245	0.1838383838383838	0.105050505050505	26.338481187820435
3	3	GRNBoost2	0.7184359106461115	0.1312147180417984	0.1434343434343434	0.0929292929292929	3.639768362045288
3	3	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	26.3638334274292
3	3	TIGRESS	0.7198401564089354	0.2007213529685969	0.1555555555555555	0.0909090909090909	17.045247793197632
3	4	GENIE3	0.7691419965917646	0.2310086412646504	0.1818181818181818	0.107070707070707	31.328360080718998
3	4	GRNBoost2	0.7285097557431407	0.1450673802126528	0.1454545454545454	0.0919191919191919	5.5210120677948
3	4	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	33.071996450424194
3	4	TIGRESS	0.7185286463493575	0.2008307668371426	0.1535353535353535	0.0909090909090909	20.99451184272766
3	5	GENIE3	0.7731209130900012	0.230250817253693	0.1838383838383838	0.104040404040404	27.86068058013916
3	5	GRNBoost2	0.7262899113594632	0.150403880248724	0.1595959595959596	0.0959595959595959	4.170732021331787
3	5	iLSGRN	0.7533338617418989	0.2487383316465854	0.1737373737373737	0.103030303030303	32.366838693618774
3	5	TIGRESS	0.7142665028600114	0.201180021857007	0.1535353535353535	0.0909090909090909	16.668543815612793
3	6	GENIE3	0.7708418869469874	0.2208898096185604	0.1797979797979798	0.106060606060606	25.15532803535461
3	6	GRNBoost2	0.745649215973791	0.1463958363274932	0.1515151515151515	0.0969696969696969	3.832101345062256
